app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,steam_deck
1329850,The Battle of Visby,07/08/2020,TRUE,FALSE,FALSE,Mostly Negative,36,11,1.99,TRUE
1402030,Strings Theory,14/12/2021,TRUE,TRUE,FALSE,Positive,100,33,14.99,TRUE
1391020,Tomes and Quests: a Word RPG,30/09/2021,TRUE,TRUE,FALSE,Mixed,62,24,9.99,TRUE
491490,FSX Steam Edition: Rockwell B-1B Lancer™ Add-On,23/08/2016,TRUE,FALSE,FALSE,Mixed,66,18,16.99,TRUE
1805490,问道仙途2,12/11/2021,TRUE,FALSE,FALSE,Mixed,44,27,2.99,TRUE
869760,Stoneshard: Prologue,05/06/2018,TRUE,FALSE,TRUE,Very Positive,87,3508,0,TRUE
598640,Wonder Wickets,17/10/2018,TRUE,FALSE,FALSE,Positive,93,32,9.99,TRUE
1487450,迷禁 Lost in Abyss,11/11/2021,TRUE,FALSE,FALSE,Positive,86,15,13.99,TRUE
823280,STE : Save The Earth,02/04/2018,TRUE,FALSE,TRUE,Mixed,46,15,2.99,TRUE
357730,VR Karts,17/04/2015,TRUE,FALSE,FALSE,Mixed,57,14,0,TRUE
1525770,The Dark Side of the Moon: An Interactive FMV Thriller,12/03/2021,TRUE,TRUE,TRUE,Mixed,65,113,2.24,TRUE
1349940,Hardbass Clicker,01/07/2020,TRUE,FALSE,FALSE,Positive,92,13,0.99,TRUE
1118130,探灵笔记-小瑶·夏日风情服饰（附送29999灵币）,05/08/2019,TRUE,FALSE,FALSE,Mixed,56,79,5.99,TRUE
502540,Cold Vengeance,11/01/2017,TRUE,TRUE,FALSE,Positive,84,19,1.99,TRUE
392920,Arvale,14/08/2015,TRUE,FALSE,FALSE,Mixed,67,64,0.49,TRUE
1690270,Amazing Superhero Squad,22/10/2021,TRUE,TRUE,TRUE,Mixed,67,31,6.99,TRUE
1419350,Outbreak: Endless Nightmares,19/05/2021,TRUE,FALSE,TRUE,Mixed,54,24,3.74,TRUE
600650,OK Bob,31/03/2017,TRUE,FALSE,FALSE,Positive,90,22,3.99,TRUE
1968040,Life on the Edge,17/06/2022,TRUE,TRUE,FALSE,Very Positive,94,59,0,TRUE
1153470,Empire Live,15/05/2020,TRUE,FALSE,FALSE,Positive,80,10,11.99,TRUE
663230,OMSI 2 Add-on Downloadpack Vol. 2 - KI-Fahrzeuge,29/06/2017,TRUE,FALSE,FALSE,Mostly Positive,76,13,12.99,TRUE
2053022,Sniper Elite 5: Airborne Elite Weapon and Skin Pack,29/11/2022,TRUE,FALSE,FALSE,Very Positive,87,58,0,TRUE
1315650,Auto Kitchen,12/06/2020,TRUE,FALSE,FALSE,Mixed,64,17,9.99,TRUE
511360,UNCORPOREAL - Holographic Photography Demo,08/08/2016,TRUE,FALSE,FALSE,Positive,88,18,0,TRUE
